Name,Symbol,Current Price (USD),Market Cap,24h Volume,24h Price Change (%)
Bitcoin,BTC,117916,"2,345,592,847,768","41,994,445,186",0.13
Ethereum,ETH,3796.49,"457,633,377,257","33,709,198,027",0.88
XRP,XRP,3.13,"185,310,521,408","5,953,308,797",0.27
Tether,USDT,1.0,"163,725,105,933","88,637,999,273",-0.01
BNB,BNB,808.49,"112,599,601,676","2,077,450,941",-2.08
Solana,SOL,181.78,"97,747,923,176","5,582,757,209",-0.15
USDC,USDC,1.0,"63,752,489,718","13,546,510,471",0.01
Lido Staked Ether,STETH,3792.91,"33,991,205,190","84,572,522",0.83
Dogecoin,DOGE,0.22,"33,714,995,269","2,162,201,031",0.17
TRON,TRX,0.34,"31,982,096,873","3,207,281,232",4.55
Cardano,ADA,0.78,"28,368,817,149","1,238,111,824",-0.35
Wrapped stETH,WSTETH,4586.18,"14,992,839,196","82,518,717",0.71
Wrapped Bitcoin,WBTC,117809,"14,947,397,370","156,749,358",0.11
Hyperliquid,HYPE,43.2,"14,397,803,782","528,203,228",-0.39
Stellar,XLM,0.42,"13,158,073,301","352,615,578",0.86
Sui,SUI,3.81,"13,156,549,855","1,667,224,587",-2.76
Chainlink,LINK,17.85,"12,097,346,301","661,368,295",-0.83
Wrapped Beacon ETH,WBETH,4067.53,"12,056,525,519","27,868,351",0.45
Bitcoin Cash,BCH,568.94,"11,312,665,618","324,488,421",-1.72
Hedera,HBAR,0.26,"11,132,064,073","461,440,988",-1.81
Wrapped eETH,WEETH,4063.69,"10,783,089,920","46,730,362",0.67
Avalanche,AVAX,24.37,"10,285,441,578","731,005,972",-0.95
WETH,WETH,3791.92,"8,549,030,903","365,507,396",0.58
Litecoin,LTC,109.09,"8,298,976,424","599,009,555",0.57
LEO Token,LEO,8.96,"8,273,441,126","2,856,144",-0.05
Toncoin,TON,3.38,"8,153,893,228","277,847,315",5.38
Ethena USDe,USDE,1.0,"7,765,364,858","225,105,773",-0.07
Shiba Inu,SHIB,0.0,"7,716,025,097","212,260,671",-1.25
USDS,USDS,1.0,"7,671,880,825","6,627,878",0.02
Binance Bridged USDT (BNB Smart Chain),BSC-USD,1.0,"6,788,674,107","2,783,621,696",0.17
WhiteBIT Coin,WBT,44.01,"6,345,786,875","58,617,598",-0.05
Coinbase Wrapped BTC,CBBTC,117884,"6,342,560,577","428,418,185",0.12
Uniswap,UNI,10.39,"6,233,225,337","489,776,538",0.03
Polkadot,DOT,3.9,"5,930,446,556","304,988,033",-1.3
Monero,XMR,315.34,"5,816,030,642","131,366,544",-1.04
Bitget Token,BGB,4.54,"5,174,266,431","132,149,958",-0.37
Pepe,PEPE,0.0,"4,834,211,079","835,378,534",-2.58
Cronos,CRO,0.14,"4,680,280,937","116,814,705",3.32
Ethena Staked USDe,SUSDE,1.19,"4,388,744,456","22,673,219",0.01
Aave,AAVE,282.38,"4,291,467,496","386,370,157",-1.44
Dai,DAI,1.0,"3,756,322,883","91,473,188",-0.0
Ethena,ENA,0.58,"3,677,235,845","1,055,238,688",-5.0
Bittensor,TAO,382.72,"3,631,210,823","156,934,142",-3.91
NEAR Protocol,NEAR,2.72,"3,367,776,033","228,995,126",0.4
Ethereum Classic,ETC,21.79,"3,322,347,220","103,753,000",0.14
Pi Network,PI,0.43,"3,305,709,215","81,234,125",-2.64
Aptos,APT,4.57,"3,061,438,159","385,609,477",-1.14
Ondo,ONDO,0.96,"3,011,855,024","209,085,422",-2.83
Internet Computer,ICP,5.46,"2,928,100,596","66,797,491",-0.64
OKB,OKB,48.29,"2,897,806,728","36,629,611",-0.57
Jito Staked SOL,JITOSOL,221.55,"2,896,470,250","24,628,523",-0.25
Mantle,MNT,0.77,"2,589,561,112","216,445,922",-2.13
