Name,Symbol,Current Price (USD),Market Cap,24h Volume,24h Price Change (%)
Kaspa,KAS,0.1,"2,519,861,360","64,867,140",-1.02
BlackRock USD Institutional Digital Liquidity Fund,BUIDL,1.0,"2,414,587,528",0,0.0
Pudgy Penguins,PENGU,0.04,"2,364,984,443","693,114,498",-4.71
Binance-Peg WETH,WETH,3801.09,"2,295,909,602","77,714,648",0.98
Algorand,ALGO,0.26,"2,266,038,916","88,234,336",0.29
Bonk,BONK,0.0,"2,207,177,716","828,407,943",-10.29
USD1,USD1,1.0,"2,192,042,159","894,913,374",-0.14
Arbitrum,ARB,0.42,"2,170,629,121","307,236,259",-1.04
VeChain,VET,0.03,"2,170,029,339","62,922,589",3.23
Cosmos Hub,ATOM,4.59,"2,110,989,277","129,301,019",-0.12
Gate,GT,17.62,"2,104,240,724","10,080,981",-1.52
Render,RENDER,3.91,"2,025,808,609","98,416,920",-2.77
POL (ex-MATIC),POL,0.22,"1,995,171,148","103,752,410",-2.1
Fasttoken,FTN,4.58,"1,974,395,124","59,194,060",-0.21
Worldcoin,WLD,1.08,"1,949,598,844","211,448,464",-2.84
Official Trump,TRUMP,9.48,"1,894,459,340","389,298,224",-1.1
SPX6900,SPX,1.99,"1,847,218,090","103,926,703",-3.92
Artificial Superintelligence Alliance,FET,0.71,"1,847,133,838","123,170,046",-0.42
Sei,SEI,0.32,"1,830,461,342","239,623,954",-0.15
Sky,SKY,0.09,"1,823,005,666","3,323,008",-4.45
Binance Staked SOL,BNSOL,193.46,"1,809,552,676","2,408,264",-0.31
sUSDS,SUSDS,1.06,"1,794,457,856","45,389,611",0.02
Rocket Pool ETH,RETH,4312.85,"1,784,552,971","6,312,147",0.58
Filecoin,FIL,2.57,"1,755,805,165","163,726,087",0.16
Quant,QNT,120.76,"1,754,092,515","22,881,691",-0.76
Flare,FLR,0.02,"1,715,519,148","23,461,720",1.8
Kelp DAO Restaked ETH,RSETH,3974.48,"1,688,900,601","1,696,920",0.52
Story,IP,5.66,"1,667,898,845","60,291,381",2.81
Lombard Staked BTC,LBTC,117959,"1,641,134,394","5,365,074",0.19
Jupiter Perpetuals Liquidity Provider Token,JLP,5.06,"1,637,065,385","39,988,448",0.0
XDC Network,XDC,0.1,"1,620,057,224","74,595,645",11.45
Jupiter,JUP,0.54,"1,608,351,687","78,361,875",-0.62
KuCoin,KCS,11.35,"1,446,238,507","6,174,853",-0.96
USDtb,USDTB,1.0,"1,445,031,158","7,872,343",0.01
StakeWise Staked ETH,OSETH,4019.58,"1,442,556,765","3,099,357",0.81
Mantle Staked Ether,METH,4062.36,"1,399,627,516","7,699,236",1.0
Liquid Staked ETH,LSETH,4093.02,"1,377,764,790","1,068,853",0.44
Injective,INJ,14.07,"1,374,669,295","160,156,717",-1.63
USDT0,USDT0,1.0,"1,363,264,328","400,340,808",-0.04
Curve DAO,CRV,0.99,"1,358,956,301","414,090,963",-0.85
Celestia,TIA,1.85,"1,344,262,346","158,612,954",-1.63
First Digital USD,FDUSD,1.0,"1,338,905,118","7,300,339,229",-0.01
NEXO,NEXO,1.32,"1,316,891,844","12,105,154",0.26
Optimism,OP,0.72,"1,256,240,873","350,145,636",-1.56
Renzo Restaked ETH,EZETH,3988.31,"1,254,692,105","8,273,699",0.62
Stacks,STX,0.78,"1,227,607,080","40,660,124",-0.71
Polygon Bridged USDT (Polygon),USDT,1.0,"1,225,921,084","36,656,628",-0.01
Falcon USD,USDF,1.0,"1,174,643,014","31,793,311",0.03
