Name,Symbol,Current Price (USD),Market Cap,24h Volume,24h Price Change (%)
Bitcoin,BTC,117943,"2,346,251,018,240","41,466,838,328",0.06
Ethereum,ETH,3807.9,"459,316,523,286","33,450,800,014",1.35
XRP,XRP,3.13,"185,375,738,743","5,903,999,364",0.29
Tether,USDT,1.0,"163,719,532,946","87,996,191,444",-0.02
BNB,BNB,808.5,"112,663,645,399","2,029,938,922",-1.08
Solana,SOL,181.67,"97,710,452,807","5,522,062,390",-0.02
USDC,USDC,1.0,"63,753,462,920","5,871,596,182",0.0
Lido Staked Ether,STETH,3805.72,"34,090,303,267","80,766,443",1.47
Dogecoin,DOGE,0.22,"33,776,233,975","2,151,021,954",0.27
TRON,TRX,0.34,"32,129,489,902","3,202,457,861",5.33
Cardano,ADA,0.79,"28,428,852,529","1,232,674,083",0.2
Wrapped stETH,WSTETH,4598.86,"15,031,117,905","79,434,541",1.56
Wrapped Bitcoin,WBTC,117928,"14,958,164,975","152,984,744",0.32
Hyperliquid,HYPE,43.37,"14,468,717,649","524,969,435",-0.23
Stellar,XLM,0.42,"13,162,490,590","351,205,391",1.07
Sui,SUI,3.8,"13,094,543,196","1,664,046,125",-2.5
Wrapped Beacon ETH,WBETH,4087.91,"12,116,980,700","28,068,935",1.26
Chainlink,LINK,17.86,"12,108,359,629","659,768,031",-0.5
Bitcoin Cash,BCH,568.53,"11,322,502,763","323,456,353",-1.67
Hedera,HBAR,0.26,"11,162,284,251","453,982,388",-1.3
Wrapped eETH,WEETH,4077.91,"10,822,380,531","46,723,021",1.39
Avalanche,AVAX,24.39,"10,296,798,426","719,162,830",-0.77
WETH,WETH,3808.31,"8,582,987,594","730,303,097",1.45
Litecoin,LTC,109.05,"8,303,911,187","596,376,980",0.74
LEO Token,LEO,8.96,"8,269,245,128","2,839,945",-0.08
Toncoin,TON,3.35,"8,086,102,573","296,048,605",4.75
Ethena USDe,USDE,1.0,"7,764,847,574","223,909,613",-0.11
Shiba Inu,SHIB,0.0,"7,725,676,414","209,590,148",-1.02
USDS,USDS,1.0,"7,655,487,095","6,480,118",0.02
Binance Bridged USDT (BNB Smart Chain),BSC-USD,1.0,"6,796,288,116","2,828,708,509",0.16
WhiteBIT Coin,WBT,44.13,"6,356,121,201","33,672,252",0.21
Coinbase Wrapped BTC,CBBTC,117925,"6,352,442,007","421,620,719",0.03
Uniswap,UNI,10.44,"6,269,695,045","476,416,783",1.77
Polkadot,DOT,3.9,"5,935,312,551","302,482,932",-1.12
Monero,XMR,316.18,"5,836,121,616","131,381,761",-0.43
Bitget Token,BGB,4.55,"5,186,988,648","131,185,291",0.12
Pepe,PEPE,0.0,"4,845,514,653","836,668,599",-2.48
Cronos,CRO,0.14,"4,672,820,676","114,147,664",0.42
Ethena Staked USDe,SUSDE,1.19,"4,388,671,903","24,310,565",-0.02
Aave,AAVE,283.2,"4,301,979,610","383,823,731",-1.0
Dai,DAI,1.0,"3,755,926,704","92,131,057",-0.01
Ethena,ENA,0.58,"3,691,679,779","1,061,967,158",-3.36
Bittensor,TAO,382.89,"3,636,430,472","155,757,483",-3.87
NEAR Protocol,NEAR,2.72,"3,371,617,053","226,660,455",0.91
Ethereum Classic,ETC,21.85,"3,337,429,507","104,379,770",0.6
